SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10004505,Kapol Katal,Kapol Katal,0037,6,8215,48636
10004506,Basani,Basani,0037,6,8215,48636
10004507,Limb Katal,Limb Katal,0037,6,8215,48636
10004508,Haldu sain,Haldu sain,0037,6,8215,48636
10004509,Chauri,Chauri,0037,6,8215,48636
10004510,Chokliya,Chokliya,0037,6,8215,48636
10004511,Malasera,Malasera,0037,6,8215,48636
10004512,Pastod,Pastod,0037,6,8215,48636
10004513,Madang,Madang,0037,6,8215,48636
10004514,Bijni Chhoti,Bijni Chhoti,0037,6,8329,48748
10004515,Eadia,Eadia,0037,6,8215,48636
10004516,Tureda,Tureda,0037,6,8215,48636
10004690,GUJHRAURA,HINDI,0065,11,15261,55095
10004691,RAWAT NAGAR,HINDI,0065,11,10003319,
10004692,SHASTRI NAGAR,,0068,11,10003306,
10004693,shastri nagar,HINDI,0068,11,15397,55587
10004694,shastri nagar,HINDI,0065,11,10003316,
10004695,shastri nagar,HINDI,0065,11,10003319,
10004696,SUBASH NAGAR,HINDI,0065,11,15282,55116
10004697,FATTABANGAR,HINDI,0063,11,14714,54811
10004698,FATTABANGAR,HINDI,0065,11,10002035,
10004699,Kotli,Kotli,0048,9,11647,
10004700,GHORA NALA,HINDI,0065,11,10004690,
10004701,KOHLI COLONY,HINDI,0065,11,10003313,
10004702,gaujajali durgh colony,HINDI,0065,11,15377,55201
10004703,Kitwal Gaon,Kitwal Gaon,0020,4,10002742,
10004704,khanna farm,HINDI,0065,11,15450,55224
10004705,sumarth,sumarth,0016,4,10004087,
10004706,pokhal molono,pokhal molno,0016,4,2670,42777
10004707,Gadseera,Gadseera,0012,2,1824,
10004708,Gadseera,Gadseera,0011,2,10001916,
10004709,Upttar,Upttar,0011,2,1533,41641
10004710,Pokharigaad,Pokharigaad,0011,2,1687,41792
10004711,Chhiplla,Chhiplla,0011,2,1665,41771
10004712,SANJAY NAGAR,HINDI,0068,11,10003306,
10004713,BISHT DHARA,HINDI,0065,11,15467,55240
10004714,GAIR VAISHALI,,0065,11,10002042,
10004715,MANPUR UTTAR,HINDI,0065,11,15291,55125
10004716,semali,semali,0016,4,10004087,
10004717,Devkher,Devkher,0033,6,8005,47542
10004718,Bindal,Bindal,0033,6,8005,47542
10004719,Badsu,Badsu,0033,6,8005,47542
10004720,byat,byat,0033,6,8005,47542
10004721,shanti nagar,hindi,0063,11,14708,54806
10004722,shanti nagar,,0063,11,14654,54754
10004723,SHANTI NAGAR,HINDI,0065,11,10004695,
10004724,jashawa ramari,,0065,11,15450,55224
10004725,Tandyun,Tandyun,0033,6,8005,47542
10004726,w.no-3,w.no-3,0067,11,10003714,
10004727,w.no-4,w.no-4,0067,11,10003714,
10004315,Khahukahni,Khahukahni,0033,6,7265,47319
10004316,Ringlana,Ringlana,0033,6,7540,47499
10004317,shanti colony,hindi,0071,12,15756,55869
10004318,sayamalfarm,HINDI,0071,12,15756,55869
10004319,lalpuri,hindi,0071,12,15745,55858
10004320,khatoli,hindi,0071,12,15688,55801
10004321,khatoli,hindi,0071,12,15717,55830
10004322,tota betiya,hindi,0071,12,15803,55913
10004323,kalyanpuri,&nbsp;,0071,12,15721,55834
10004324,chandanpura,&nbsp;,0071,12,15720,55833
10004325,VASKHEDI,hindi,0071,12,15782,55893
10004326,namoona,,0071,12,15787,55898
10004327,bhassuwala,hindi,0071,12,10004317,
10004328,azimulla bhuti,hindi,0071,12,15687,55800
10004329,Vaitkhedi,&nbsp;,0071,12,10004325,
10004330,Ghatti,Ghatti,0048,9,11706,
10004331,dhudhiya colony,hindi,0071,12,15782,55893
10004332,Jabran,hindi,0071,12,15720,55833
10004333,JARKANDU,HINDI,0071,12,15782,55893
10004334,topa coloni,hindi,0071,12,15730,55843
10004335,NAI ABADI,HINDI,0071,12,10004331,
10004336,KAPKOT,HINDI,0071,12,10004328,
10004337,ASKOT,HINDI,0071,12,10004336,
10004338,DHuriya,hindi,0071,12,15750,55863
10004339,MOHANPUR,HINDI,0071,12,10004318,
10004517,Saud,Saud,0037,6,8215,48636
10004518,Binjakhet,Binjakhet,0037,6,8215,48636
10004519,sema,,0016,4,2836,42936
10004520,sarwarkheda,,0070,12,10004490,
10004521,shyamnagar,HINDI,0070,12,15576,55761
10004522,beena nagar,HINDI,0070,12,15562,55747
10004523,Aamka makan,Hindi,0070,12,15564,55789
10004524,kesripur,hindi,0070,12,15564,55789
10004525,Kesharipur,Hindi,0070,12,15521,55707
10004526,RAMACOLLONY GADHINEGI,HINDI,0070,12,15523,55709
10004527,Raypur,HINDI,0070,12,15564,55789
10004528,Raipur,hindi,0070,12,10004490,
10004529,Aind,Aind,0012,2,1746,41855
10004530,Bhatisain,Bhatisain,0012,2,1802,41910
10004531,Farkhande,Farkhande,0012,2,1802,41910
10004532,Gandiyal,,0012,2,1805,41913
10004533,Mandar,Mandar,0019,4,2951,43594
10004534,Kastal,Kastal,0019,4,10004533,
10004535,Myudi,Myudi,0019,4,3588,43695
10004536,Kharduni,Kharduni,0037,6,8215,48636
