SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10001021,Kapoorpur,Kapoorpur,0318,76,0,
10001022,Nandpur,Nandpur,0318,76,0,
10001023,Chijarchi,Chijarchi,0318,76,0,
10001024,Masota,Masota,0318,76,0,
10001025,Nidori,Nidori,0318,76,0,
10001026,Nidhwali,Nidhwali,0318,76,0,
10001027,Dhikri,Dhikri,0318,76,0,
10001028,Kakrana,Kakrana,0318,76,0,
10001029,Jadopur,Jadopur,0318,76,0,
10001030,Dehra,Dehra,0318,76,0,
10001031,Hasanpur,Hasanpur,0318,76,0,
10001032,Udayrampur Nagla,Udayrampur Nagla,0318,76,0,
10001033,Kichara,Kichara,0318,76,0,
10001034,Dinanath Puthi,Dinanath Puthi,0318,76,0,
10001035,Raghunathpur,Raghunathpur,0318,76,0,
10001036,Ikla,Ikla,0318,76,0,
10001037,Inayatpur,Inayatpur,0318,76,0,
10001038,PIPLEDA,PIPLEDA,0318,76,0,
10001039,GALAND,GALAND,0318,76,0,
10001040,Lakhan,Lakhan,0318,76,0,
10001041,Hindalpur,Hindalpur,0318,76,0,
10001042,Bhovapur,Bhovapur,0318,76,0,
10001043,Kheda,Kheda,0318,76,0,
10001044,Sikheda,Sikheda,0318,76,0,
10001045,bajheda khurd,bajheda khurd,0318,76,0,
10001046,Dhuri,Dhuri,0318,76,0,
10001047,Kandola/ Habal,Kandola/ Habal,0318,76,0,
10001048,Pawla/Jatpura,Pawla/Jatpura,0318,76,0,
10001049,Ajampur,Ajampur,0318,76,0,
10001050,Kandoli,Kandoli,0318,76,0,
10001051,Dehapa,Dehapa,0318,76,0,
10001052,Himmat  Nagar,Himmat  Nagar,0318,76,0,
10001053,Faguta,Faguta,0318,76,0,
10001054,Solana,Solana,0318,76,0,
10001055,Lalpur,Lalpur,0318,76,0,
10001056,Sivaya,Sivaya,0318,76,0,
10001057,Narainpur,Narainpur,0318,76,0,
10001058,Narainpur Madhiaya,Narainpur Madhiaya,0318,76,0,
10001059,Narna,Narna,0318,76,0,
10001060,Dahipur,Dahipur,0318,76,0,
10001061,Iklendi,Iklendi,0318,76,0,
10001062,Bhawa,Bhawa,0318,76,0,
10001063,Bhejeda kala 1,Bhejeda kala 1,0318,76,0,
10001064,Bhejeda kala 2,Bhejeda kala 2,0318,76,0,
10001065,Samana,Samana,0318,76,0,
10001066,Nagla Gajju,Nagla Gajju,0318,76,0,
10001067,Nagla Kashi,Nagla Kashi,0318,76,0,
10001068,Doma Tikri,Doma Tikri,0318,76,0,
10001069,Sukhdevpur,Sukhdevpur,0318,76,0,
10001070,Sapnawat,Sapnawat,0318,76,0,
10001071,Karanpur,Karanpur,0318,76,0,
10001072,milak,milak,0318,76,0,
10001073,Karanpur Jatt,Karanpur Jatt,0318,76,0,
10001074,Dhaulana,Dhaulana,0318,76,0,
10001075,Parpa,Parpa,0318,76,0,
10001076,Madapur,Madapur,0318,76,0,
10001077,Nagla Chhajju,Nagla Chhajju,0318,76,0,
10001078,Prtapur,Prtapur,0318,76,0,
10001079,Bidhepur,Bidhepur,0318,76,0,
10001080,Kherpur,Kherpur,0318,76,0,
10001081,Achpal Ghadi,Achpal Ghadi,0318,76,0,
10001082,Meera pur,Meera pur,0318,76,0,
10001083,Kandola,Kandola,0318,76,0,
10001084,PARAM PURWA,PARAM PURWA,0171,40,47912,154884
10001085,baan bazar,baan bazar,0144,33,42051,149163
10001086,Baan gaon,Baan gaon,0144,33,42051,149163
10001087,Kamlapati Ghyanshyam,Kamlapati Ghyanshyam,0144,33,42051,149163
10001088,Manepur,Manepur,0144,33,42051,149163
10001089,Ranepur,Ranepur,0144,33,42051,149163
10001090,Dhokalpurva,Dhokalpurva,0144,33,42051,149163
10001091,Pulbazar Kanchushi,Pulbazar Kanchushi,0144,33,42051,149163
10001092,Jamon,Jamon,0309,71,18865,215155
10001093,Nagla Mitan,Nagla Mitan,0309,71,18865,215155
10001094,Kheriya,Kheriya,0309,71,18865,215155
10001095,Pilkhun,Pilkhun,0309,71,18865,215155
10001096,NaglaBhajan,NaglaBhajan,0309,71,18865,215155
10001097,Nagla Rajaram,Nagla Rajaram,0309,71,18865,215155
10001098,Gariram Lal,Gariram Lal,0309,71,18865,215155
10001099,Karhal,Karhal,0309,71,18865,215155
10001100,MAULAGANJ,MAULAGANJ,0247,57,77771,0
10001101,ANANTPUR,ANANTPUR,0247,57,77771,0
10001102,PIPARA KHURD,PIPARA KHURD,0247,57,77771,0
10001103,ANANTPUR MOTHAHI,ANANTPUR MOTHAHI,0247,57,77771,0
10001104,NAVIGANJ,NAVIGANJ,0247,57,77771,0
10001105,Pure Ori Singh,,0214,73,62599,
10001106,Jafar Ganj,,0214,73,62599,
10001107,Madhu Pur,,0214,73,62599,
10001108,Pure Ori Singh,Pure Ori Singh,0313,73,0,
